label_fr,label_en
pdf,pdf
date,date
binaire,binary
texte,text
rapport,reporting
xls,xls
csv,csv
integer,integer
ascii,ascii
cartographie,cartography
vector,vector
nombres,numbers
ods,ods
carte, map
chiffres,digits
image,image
