model,slug,label_fr,label_en,section,order,external_model,is_controled,reference_table,vocab,translation,multiple,constraint,datatype,is_indexed,is_facet,view_scope,mandatory,editable,commentable
Dataset,id,ID,ID,ADMIN,-1,,False,,,False,False,unique,ID,False,False,ADMIN,False,False,
Dataset,integration_status,Publié,Published,ADMIN,-1,,False,,,False,False,Bool,bool,False,True,ADMIN,False,False,
Dataset,state,Status,Statut,ADMIN,-1,,False,,,False,False,Bool,bool,False,True,ADMIN,False,False,
Dataset,last_inserted,Date de dernière insertion,Last Inserted Date,ADMIN,-1,,False,,,False,False,Date,date,False,True,ADMIN,False,False,
Dataset,last_modification,Date de dernière modification,Last Modification Date,ADMIN,-1,,False,,,False,False,Date,date,False,True,ADMIN,False,False,
Dataset,logs,Logs,Logs,ADMIN,-1,Log,False,,,False,True,None,dict,False,False,ADMIN,False,False,
Dataset,name,Nom,Name,COMMON,1,,False,,,False,False,unique,str,True,False,"PAGE_LIST, PAGE_ITEM ",True,True,
Dataset,acronym,Sigle,Acronym,COMMON,2,,False,,,False,False,unique,str,True,False,"PAGE_LIST, PAGE_ITEM ",False,True,
Dataset,organizations,Organismes,Organizations,COMMON,4,Organization,False,,,False,True,oneOf,dict,False,True,"PAGE_LIST, FILTER",True,True,
Dataset,description,Description,Description,COMMON,5,,False,,,True,False,None,str,True,False,"PAGE_LIST, PAGE_ITEM ",True,True,
Dataset,link,Lien,Link,COMMON,6,,False,,,False,False,None,url,False,False,"PAGE_LIST, PAGE_ITEM ",True,True,
Dataset,contact_type,Modalité de contact,Contact type,COMMON,7,Reference,True,contact_type,,True,True,oneOf,str,False,False,"PAGE_LIST, PAGE_ITEM ",False,True,
Dataset,contact,Contact,Contact,COMMON,8,,False,,,False,True,None,str,False,False,"PAGE_LIST, PAGE_ITEM ",False,True,Field
Dataset,contact_type_comments,Commentaires sur les modalités de contact,Contact Comments,COMMON,9,Comment,False,,,False,True,None,dict,False,False,PAGE_DETAIL,False,True,
Dataset,dataset_type,Type,Type,COMMON,10,Reference,True,dataset_type,,True,False,oneOf,str,False,True,"PAGE_LIST, FILTER",True,True,
Dataset,environment,Milieu,Environment,DATA,11,Reference,True,environment,,True,False,oneOf,str,True,True,"PAGE_ITEM, FILTER",False,True,
Dataset,nature,Nature et Usage,Use and Nature,DATA,12,Reference,True,nature,,True,False,oneOf,str,True,True,"PAGE_ITEM, FILTER",False,True,
Dataset,subthematic,Sous thématique,Subthématic,DATA,13,Reference,True,subthematic,,True,False,oneOf,str,True,True,"PAGE_ITEM, FILTER",False,True,
Dataset,measurement_data,Données issues de mesures,Measurement Data,DATA,14,,False,,,False,False,Bool,bool,False,False,PAGE_DETAIL,False,True,
Dataset,exposure_factor,Facteur d’exposition,Exposure factor,DATA,15,,False,,,True,True,None,str,True,True,"PAGE_LIST, PAGE_ITEM, FILTER",False,True,
Dataset,exposure_factor_category,Catégorie de facteur d’exposition,Exposure factor category,DATA,16,Reference,True,exposure_factor_category,,True,True,oneOf,str,True,True,"PAGE_LIST, PAGE_ITEM, FILTER",True,True,
Dataset,theme_category,Catégorie thématique,Thematic Category,DATA,17,Reference,True,theme_category,,True,False,oneOf,str,True,True,"PAGE_LIST, PAGE_ITEM, FILTER",False,True,
Dataset,is_opendata,Données Ouvertes,Open Data,LEGAL,18,,False,,,False,False,Bool,bool,False,True,"PAGE_LIST, PAGE_ITEM, FILTER",True,True,Field
Dataset,license_name,Nom de licence,Licence Name,LEGAL,19,License,True,license_name,DCAT,True,False,oneOf,str,False,True,"PAGE_LIST, PAGE_ITEM, FILTER",False,True,
Dataset,license_type,Type de licence,Licence Type,LEGAL,20,License,True,licence_type,DCAT,True,True,oneOf,str,False,True,"PAGE_ITEM, FILTER",False,True,
Dataset,has_restrictions,A des restrictions,Has restrictions,LEGAL,21,,False,,,False,False,Bool,bool,False,True,FILTER,False,True,Field
Dataset,restrictions_comments,Commentaires sur les restrictions,Restriction comments,LEGAL,22,Comment,False,,,False,True,None,dict,False,False,PAGE_DETAIL,False,True,
Dataset,has_pricing,Tarification,Pricing,LEGAL,23,,False,,,False,False,Bool,bool,False,True,FILTER,False,True,Field
Dataset,has_compliance,Compliance,Compliance,LEGAL,25,,False,,,False,False,Bool,bool,False,True,FILTER,False,True,Field
