model,slug,label_fr,label_en,section,order,external_model,is_controled,reference_table,vocab,translation,multiple,constraint,datatype,is_indexed,is_facet,view_scope,mandatory,editable,commentable,description_fr,description_en
Dataset,id,ID,ID,ADMIN,-1,,False,,,False,False,unique,id,False,False,ADMIN,False,False,False,,
Dataset,integration_status,Publié,Published,ADMIN,-1,,False,,,False,False,Bool,bool,False,True,ADMIN,False,False,False,,
Dataset,state,Status,Statut,ADMIN,-1,,False,,,False,False,Bool,bool,False,True,ADMIN,False,False,False,,
Dataset,last_inserted,Date de dernière insertion,Last Inserted Date,ADMIN,-1,,False,,,False,False,Date,date,False,True,ADMIN,False,False,False,,
Dataset,last_modification,Date de dernière modification,Last Modification Date,ADMIN,3,,False,,,False,False,Date,date,False,True,ADMIN,False,False,False,,
Dataset,name,Nom,Name,COMMON,1,,False,,,False,False,unique,str,True,False,"PAGE_LIST, PAGE_ITEM ",True,True,False,,
Dataset,acronym,Sigle,Acronym,COMMON,2,,False,,,False,False,unique,str,True,False,"PAGE_LIST, PAGE_ITEM ",False,True,False,,
Dataset,organizations,Organismes,Organizations,COMMON,-1,Organization,False,,,False,True,oneOf,dict,False,True,"PAGE_LIST, PAGE_ITEM, FILTER",True,True,False,,
Dataset,description,Description,Description,COMMON,5,,False,,,True,False,None,str,True,False,"PAGE_LIST, PAGE_ITEM ",True,True,False,,
Dataset,url,Lien,Link,COMMON,6,,False,,,False,False,None,url,False,False,"PAGE_LIST, PAGE_ITEM ",True,True,False,,
Dataset,contact_type,Modalité de contact,Contact type,CONTACT,7,Reference,True,contact_type,,True,True,oneOf,str,False,False,"PAGE_LIST, PAGE_ITEM ",False,True,False,Modalités de contact,
Dataset,contact,Contact,Contact,CONTACT,8,,False,,,False,True,None,str,False,False,"PAGE_LIST, PAGE_ITEM ",False,True,Field,Contact,
Dataset,contact_type_comments,Commentaires sur les modalités de contact,Contact Comments,CONTACT,9,Comment,False,,,False,True,None,dict,False,False,PAGE_ITEM,False,True,Field,,
Dataset,dataset_type,Type,Type,COMMON,10,Reference,True,dataset_type,,True,False,oneOf,str,False,True,"PAGE_LIST, FILTER",True,True,False,"Type de jeu de données : Jeu de données, portail, base de données",
Dataset,environment,Milieu,Environment,DATA,11,Reference,True,environment,,True,True,oneOf,str,True,True,"PAGE_ITEM, FILTER",False,True,False,,
Dataset,nature,Nature et Usage,Use and Nature,DATA,12,Reference,True,nature,,True,False,oneOf,str,True,True,"PAGE_ITEM, FILTER",False,True,False,,
Dataset,subthematic,Sous thématique,Subthématic,DATA,13,Reference,True,subthematic,,True,False,oneOf,str,True,True,"PAGE_ITEM, FILTER",False,True,False,,
Dataset,exposure_factor,Facteur d’exposition,Exposure factor,DATA,15,,False,,,True,True,None,str,True,True,"PAGE_LIST, PAGE_ITEM, FILTER",False,True,False,Facteur d’exposition,
Dataset,exposure_factor_category,Catégorie de facteur d’exposition,Exposure factor category,DATA,16,Reference,True,exposure_factor_category,,True,True,oneOf,str,True,True,"PAGE_LIST, PAGE_ITEM, FILTER",True,True,False,Catégorie de facteur d’exposition,
Dataset,theme_category,Catégorie thématique,Thematic Category,DATA,17,Reference,True,theme_category,,True,False,oneOf,str,True,True,"PAGE_LIST, PAGE_ITEM, FILTER",False,True,False,Grande catégorie thématique selon la norme DCAT AP,
Dataset,is_opendata,Données Ouvertes,Open Data,LEGAL,18,,False,,,False,False,Bool,bool,False,True,"PAGE_LIST, PAGE_ITEM, FILTER",True,True,False,,
Dataset,license_name,Nom de licence,Licence Name,LEGAL,19,Reference,True,license_name,DCAT,True,False,oneOf,str,False,True,"PAGE_LIST, PAGE_ITEM, FILTER",False,True,False,,
Dataset,license_type,Type de licence,Licence Type,LEGAL,20,Reference,True,license_type,DCAT,True,True,oneOf,str,False,True,"PAGE_ITEM, FILTER",False,True,False,,
Dataset,has_restrictions,A des restrictions,Has restrictions,LEGAL,21,,False,,,False,False,Bool,bool,False,True,FILTER,False,True,Field,,
Dataset,restrictions_comments,Commentaires sur les restrictions,Restriction comments,LEGAL,22,Comment,False,,,False,True,None,dict,False,False,PAGE_ITEM,False,True,Field,,
Dataset,has_pricing,Tarification,Pricing,LEGAL,23,,False,,,False,False,Bool,bool,False,True,FILTER,False,True,Field,,
Dataset,has_compliance,Compliance,Compliance,LEGAL,25,,False,,,False,False,Bool,bool,False,True,FILTER,False,True,Field,,
Dataset,pricing_comments,Commentaires sur les tarifications,Tarification Comment,LEGAL,24,Comment,False,,,False,True,None,dict,False,False,PAGE_ITEM,False,True,Field,,
Dataset,compliance_comments,Commentaires sur la compliance,Compliance Comment,LEGAL,26,Comment,False,,,False,True,None,dict,False,False,PAGE_ITEM,False,True,Field,,
Dataset,data_format,Format des données (DCAT AP),Data Format (DCAT AP),TECH,26,Reference,True,data_format,DCAT,False,True,oneOf,str,False,False,PAGE_ITEM,False,True,False,,
Dataset,other_access_points,Autres points d’accès,Other Access point,TECH,27,,False,,,False,True,None,str,False,False,PAGE_ITEM,False,True,False,,
Dataset,data_domain,Domaine  de référence des données,Data domain,TECH,28,Reference,True,data_domain,,True,False,oneOf,str,False,True,PAGE_ITEM,True,True,False,,
Dataset,related_referential,Référentiels associés,Related references,TECH,29,,False,,,False,True,None,str,False,False,PAGE_ITEM,False,True,False,,
