slug,model,field_id,label_fr,label_en,section,external_model,external_model_display_keys,is_controled,reference_table,vocab,translation,multiple,constraint,datatype,is_indexed,is_facet,ADMIN_scope_order,PAGE_LIST_scope_order,PAGE_ITEM,FILTER_page_scope_order,mandatory,editable,commentable,description_fr,description_en
related_datasets,dataset,datasets.related_datasets,jeux de données associés,Related Datasets,TECH,dataset,id,False,,,False,True,oneOf,dict,False,False,34,-1,30,-1,False,True,False,Jeux de données liés,
automatic_update,dataset,datasets.automatic_update,Mise à jour automatique,Automatic Update,TECH,,,False,,,False,False,Bool,bool,False,False,35,-1,31,-1,False,True,False,Y a t’il une mise à jour automatique ?,
broadcast_mode,dataset,datasets.broadcast_mode,Mode de diffusion,Broadcast Mode,TECH,reference,name,True,broadcast_mode,,True,True,oneOf,str,False,True,36,-1,32,-1,False,True,False,Mode de diffusion : API / Portail / Process ,
documentation_comments,dataset,datasets.documentation_comments,Commentaires sur la documentation,Documentation comments,TECH,comment,username|date|text,False,,,False,True,None,dict,False,False,37,-1,33,-1,False,True,Field,Commentaires ajoutant des précisions sur la documentation,
last_updated,dataset,datasets.last_updated,Dernière Mise à Jour,Last Update,COMMON,,,False,,,False,False,Date,date,False,True,38,17,34,-1,False,True,False,Date de dernière mise à jour chez le producteur,
downloadable,dataset,datasets.downloadable,Téléchargeable,Downloadable,TECH,,,False,,,False,False,Bool,bool,False,True,39,-1,35,14,False,True,False,"O/N, si non préciser le type d'accès (dans les commentaires techniques)",
has_documentation,dataset,datasets.has_documentation,Documentation,Documentation,TECH,,,False,,,False,False,Bool,bool,False,True,40,-1,36,-1,False,True,Field,Y-a-t-il de la documentation disponible sur les mode de collecte de l’information ou sur l’acces aux données,
has_filter,dataset,datasets.has_filter,Filtrage des données,Data Filter,TECH,,,False,,,False,False,Bool,bool,False,True,41,-1,37,-1,False,True,False,Y-a-t-il un filtre facilitant la recherche de données parmi toutes les données disponibles (ex: filtres par champ thématique) ? (O/N),
has_missing_data,dataset,datasets.has_missing_data,Données manquantes,Missing Data,TECH,,,False,,,False,False,Bool,bool,False,True,42,-1,38,-1,False,True,Field,Y a til des données manquantes ? Si oui précisez dans les commentaire lesquelles,
has_search_engine,dataset,datasets.has_search_engine,Moteur de Recherche,Search Engine,TECH,,,False,,,False,False,Bool,bool,False,True,43,-1,39,-1,False,True,False,Y-a-t-il un moteur de recherche facilitant la recherche de jeux de données  (ex: par commune) ? (O/N),
missing_data_comments,dataset,datasets.missing_data_comments,Commentaires sur les données manquantes,Missing Data Comments,TECH,comment,username|date|text,False,,,False,True,None,dict,False,False,44,-1,40,-1,False,True,Field,Commentaires indiquants les manques et lacune des jeux de données,
technical_comments,dataset,datasets.technical_comments,Commentaires sur l’accès techniques,Technical Comments,TECH,comment,username|date|text,False,,,False,True,None,dict,False,False,45,-1,41,-1,False,True,Section,"Commentaires sur les aspects techniques, accessibilité, méthode de collecte, moteur de recherche, etc.",
temporal_scale,dataset,datasets.temporal_scale,Echelle temporelle,Temporal Scale,TECH,,,False,,,False,True,Range,str,True,True,46,16,42,15,False,True,Field,Couverture temporelle / échelle temporelle des données : N/A / Minute / Heure / Journalier / Hebdomadaire /  etc.,
update_frequency,dataset,datasets.update_frequency,Fréquence de mise à jour,Update Frequency,TECH,,,False,,,True,False,oneOf,str,False,True,47,-1,43,16,False,True,Field,Fréquence de mise à jour CF Norme Inspire : Temps réel / Quotidienne / Hebdomadaire / Mensuelle / Etc.,
